Place	Municipality	Population	Women	Men	0-17	18-64	65.0	Married	Single	Foreign Background	Foreign Born	Foreign National	Average Age	County
Kävlinge	4	27746	49.9	50.1	24.9	60.8	14.4	39.7	7.9	9.3	7.4	3.2	38.8	10
Landskrona	7	40419	50.3	49.7	20.4	60.9	18.7	36.6	11.5	29.3	22.7	10.4	41.6	10
Lomma	2	20023	50.3	49.7	25.3	56.3	18.4	44.4	6.8	8.4	6.8	2.6	40.6	10
Lund	3	105286	50.4	49.6	19.3	67.3	13.4	31.7	7.9	19.1	15.4	7.2	38.0	10
Malmö	1	280801	51.1	48.9	19.1	64.7	16.2	31.3	11.4	37.3	28.3	12.1	39.7	10
Osby	6	12623	49.8	50.2	20.9	57.6	21.5	37.3	8.5	11.4	9.7	5.0	43.4	10
Perstorp	6	6930	49.3	50.7	21.6	59.0	19.4	36.5	10.7	19.4	16.0	6.8	41.6	10
Simrishamn	8	19306	51.2	48.8	18.2	55.4	26.4	40.2	9.5	8.5	7.3	3.1	46.8	10
Sjöbo	4	18015	49.3	50.7	20.9	60.4	18.7	36.6	9.8	8.7	7.3	4.7	42.2	10
Skurup	2	14788	50.0	50.0	23.5	60.1	16.4	37.7	8.8	11.6	9.4	5.3	40.5	10
Staffanstorp	2	21208	50.1	49.9	25.3	59.4	15.3	41.8	7.9	12.3	9.5	3.8	38.9	10
Svalöv	4	13143	48.6	51.4	23.2	60.7	16.1	37.9	8.3	13.3	10.6	5.9	40.2	10
Svedala	2	19149	49.9	50.1	25.2	60.9	13.8	39.8	7.3	9.9	7.7	3.6	38.5	10
Tomelilla	8	12772	50.2	49.8	19.9	58.5	21.6	35.7	9.1	8.7	7.5	3.9	43.4	10
Trelleborg	7	41019	50.4	49.6	21.3	59.8	18.9	38.6	9.8	17.2	13.4	5.6	41.8	10
Vellinge	2	32565	50.5	49.5	24.6	58.2	17.2	44.5	7.7	8.0	6.7	3.4	40.9	10
Ystad	7	27719	51.4	48.6	18.6	58.5	22.9	38.2	9.6	9.2	7.7	3.1	44.8	10
Åstorp	4	14233	49.5	50.5	24.2	60.2	15.5	37.3	9.5	22.2	17.1	7.9	39.3	10
Ängelholm	7	38749	51.4	48.6	20.6	59.2	20.2	37.1	9.8	10.3	8.3	3.1	42.7	10
Örkelljunga	6	9577	49.3	50.7	20.5	58.6	20.9	38.2	9.3	14.4	12.0	6.9	43.0	10
Östra Göinge	6	13828	49.5	50.5	21.6	58.6	19.8	37.8	8.7	9.2	7.7	3.6	42.4	10
Hallands county		291393	50.3	49.7	22.2	59.5	18.3	37.6	8.5	12.3	9.6	3.4	41.2	11
Falkenberg	7	40164	49.9	50.1	21.6	57.9	20.5	37.9	8.0	12.6	9.9	3.7	42.4	11
Halmstad	3	89727	50.8	49.2	20.4	61.2	18.4	35.4	9.2	17.5	13.4	4.1	41.2	11
Hylte	6	10257	49.3	50.7	22.6	57.3	20.1	37.5	7.2	16.8	13.2	6.4	42.0	11
Kungsbacka	2	71942	50.3	49.7	25.9	58.5	15.6	40.4	7.8	7.4	6.0	2.5	39.3	11
Laholm	8	23189	49.7	50.3	20.9	59.0	20.1	38.3	8.0	10.3	8.3	3.7	43.2	11
Varberg	3	56114	50.2	49.8	21.4	59.6	19.0	36.7	8.7	9.9	7.8	2.7	41.9	11
Västra Götalands county		1547298	50.2	49.8	21.1	61.8	17.2	34.5	9.2	17.9	13.6	5.5	40.7	12
Ale	2	27092	49.3	50.7	24.7	60.9	14.4	37.7	8.7	16.8	12.4	4.8	39.0	12
